Date,Close
31/07/2024,10925
30/07/2024,10900
29/07/2024,10825
26/07/2024,10850
25/07/2024,10850
24/07/2024,10800
23/07/2024,10725
22/07/2024,10900
19/07/2024,10800
18/07/2024,10750
17/07/2024,10750
16/07/2024,10475
15/07/2024,10575
12/7/2024,10375
11/7/2024,10300
10/7/2024,10300
9/7/2024,10325
8/7/2024,10400
5/7/2024,10275
4/7/2024,10225
3/7/2024,10275
2/7/2024,10250
1/7/2024,10300
28/06/2024,10300
27/06/2024,10500
26/06/2024,10375
25/06/2024,10125
24/06/2024,10300
21/06/2024,10300
20/06/2024,10175
19/06/2024,10200
14/06/2024,10500
13/06/2024,10675
12/6/2024,10575
11/6/2024,10550
10/6/2024,10500
7/6/2024,10575
6/6/2024,10600
5/6/2024,10450
4/6/2024,10325
3/6/2024,10200
31/05/2024,9750
30/05/2024,10150
29/05/2024,10425
28/05/2024,10600
27/05/2024,10425
22/05/2024,10475
21/05/2024,10400
20/05/2024,10500
17/05/2024,10550
16/05/2024,10575
15/05/2024,10600
14/05/2024,10300
13/05/2024,10300
8/5/2024,10775
7/5/2024,10775
6/5/2024,10850
3/5/2024,10850
2/5/2024,10475
30/04/2024,10875
29/04/2024,10675
26/04/2024,10600
25/04/2024,10700
24/04/2024,10175
23/04/2024,9925
22/04/2024,9800
19/04/2024,9725
18/04/2024,10100
17/04/2024,10150
16/04/2024,10100
5/4/2024,10850
4/4/2024,11025
3/4/2024,11000
2/4/2024,11200
1/4/2024,11225
28/03/2024,11600
27/03/2024,11000
26/03/2024,10850
25/03/2024,11200
22/03/2024,11125
21/03/2024,10950
20/03/2024,11225
19/03/2024,11000
18/03/2024,10850
15/03/2024,10725
14/03/2024,10900
13/03/2024,10725
8/3/2024,10775
7/3/2024,10700
6/3/2024,11150
5/3/2024,11375
4/3/2024,11450
1/3/2024,11625
29/02/2024,11550
28/02/2024,11600
27/02/2024,11600
26/02/2024,11550
23/02/2024,11550
22/02/2024,11600
21/02/2024,11475
20/02/2024,11550
19/02/2024,11575
16/02/2024,11450
15/02/2024,11650
13/02/2024,11375
12/2/2024,11650
7/2/2024,11425
6/2/2024,11525
5/2/2024,11475
2/2/2024,11575
1/2/2024,11575
31/01/2024,11775
30/01/2024,11225
29/01/2024,11400
26/01/2024,11450
25/01/2024,11400
24/01/2024,11400
23/01/2024,11375
22/01/2024,11400
19/01/2024,11550
18/01/2024,11275
17/01/2024,11125
16/01/2024,11075
15/01/2024,11125
12/1/2024,11175
11/1/2024,11125
10/1/2024,11350
9/1/2024,11025
8/1/2024,10750
5/1/2024,10725
4/1/2024,11050
3/1/2024,10625
2/1/2024,10650
29/12/2023,10575
28/12/2023,10650
27/12/2023,10575
22/12/2023,10525
21/12/2023,10550
20/12/2023,10575
19/12/2023,10575
18/12/2023,10600
15/12/2023,10425
14/12/2023,10575
13/12/2023,10550
12/12/2023,10625
11/12/2023,10525
8/12/2023,10975
7/12/2023,10650
6/12/2023,10650
5/12/2023,10675
4/12/2023,10500
1/12/2023,10525
30/11/2023,11550
29/11/2023,10500
28/11/2023,10650
27/11/2023,10650
24/11/2023,10425
23/11/2023,10550
22/11/2023,10500
21/11/2023,10500
20/11/2023,10525
17/11/2023,10475
16/11/2023,10575
15/11/2023,10575
14/11/2023,10450
13/11/2023,10375
10/11/2023,10575
9/11/2023,10450
8/11/2023,10475
7/11/2023,10475
6/11/2023,10475
3/11/2023,10450
2/11/2023,10350
1/11/2023,10375
31/10/2023,10350
30/10/2023,10525
27/10/2023,10525
26/10/2023,10275
25/10/2023,10450
24/10/2023,10800
23/10/2023,10500
20/10/2023,10600
19/10/2023,10425
18/10/2023,10625
17/10/2023,10900
16/10/2023,10900
13/10/2023,10875
12/10/2023,10975
11/10/2023,10700
10/10/2023,10850
9/10/2023,11100
6/10/2023,11500
5/10/2023,11625
4/10/2023,11200
3/10/2023,10950
