Date,Close
7/1/2019,2480
7/2/2019,2440
7/3/2019,2390
7/4/2019,2400
7/5/2019,2400
7/8/2019,2380
7/9/2019,2390
7/10/2019,2400
7/11/2019,2350
7/12/2019,2280
7/15/2019,2220
7/16/2019,2140
7/17/2019,2140
7/18/2019,2110
7/19/2019,2220
7/22/2019,2330
7/23/2019,2350
7/24/2019,2380
7/25/2019,2430
7/26/2019,2420
7/29/2019,2410
7/30/2019,2450
7/31/2019,2490
8/1/2019,2540
8/2/2019,2500
8/5/2019,2460
8/6/2019,2450
8/7/2019,2450
8/8/2019,2440
8/9/2019,2460
8/12/2019,2450
8/13/2019,2410
8/14/2019,2460
8/15/2019,2470
8/16/2019,2450
8/19/2019,2450
8/20/2019,2410
8/21/2019,2410
8/22/2019,2410
8/23/2019,2430
8/26/2019,2460
8/27/2019,2480
8/28/2019,2520
8/29/2019,2510
8/30/2019,2490
9/2/2019,2480
9/3/2019,2490
9/4/2019,2460
9/5/2019,2470
9/6/2019,2490
9/9/2019,2480
9/10/2019,2450
9/11/2019,2490
9/12/2019,2400
9/13/2019,2430
9/16/2019,2400
9/17/2019,2400
9/18/2019,2400
9/19/2019,2400
9/20/2019,2400
9/23/2019,2380
9/24/2019,2300
9/25/2019,2260
9/26/2019,2280
9/27/2019,2280
9/30/2019,2230
10/1/2019,2210
10/2/2019,2220
10/3/2019,2300
10/4/2019,2300
10/7/2019,2290
10/8/2019,2340
10/9/2019,2310
10/10/2019,2260
10/11/2019,2260
10/14/2019,2220
10/15/2019,2200
10/16/2019,2190
10/17/2019,2220
10/18/2019,2240
10/21/2019,2210
10/22/2019,2180
10/23/2019,2210
10/24/2019,2220
10/25/2019,2190
10/28/2019,2210
10/29/2019,2190
10/30/2019,2160
10/31/2019,2140
11/1/2019,2170
11/4/2019,2170
11/5/2019,2150
11/6/2019,2140
11/7/2019,2130
11/8/2019,2140
11/11/2019,2120
11/12/2019,2130
11/13/2019,2150
11/14/2019,2170
11/15/2019,2200
11/18/2019,2200
11/19/2019,2200
11/20/2019,2200
11/21/2019,2150
11/22/2019,2130
11/25/2019,2120
11/26/2019,2100
11/27/2019,2100
11/28/2019,2090
11/29/2019,2060
12/2/2019,2100
12/3/2019,2090
12/4/2019,2080
12/5/2019,2060
12/6/2019,2060
12/9/2019,2060
12/10/2019,2040
12/11/2019,2040
12/12/2019,2030
12/13/2019,2020
12/16/2019,2020
12/17/2019,2000
12/18/2019,1985
12/19/2019,1985
12/20/2019,1950
12/23/2019,2000
12/26/2019,2060
12/27/2019,2050
12/30/2019,2050
1/2/2020,2030
1/3/2020,2030
1/6/2020,2020
1/7/2020,2030
1/8/2020,2000
1/9/2020,2080
1/10/2020,2050
1/13/2020,2030
1/14/2020,2020
1/15/2020,2010
1/16/2020,2010
1/17/2020,2000
1/20/2020,1990
1/21/2020,1995
1/22/2020,1985
1/23/2020,1970
1/24/2020,1960
1/27/2020,1930
1/28/2020,1925
1/29/2020,1925
1/30/2020,1910
1/31/2020,1920
2/3/2020,1900
2/4/2020,1905
2/5/2020,1905
2/6/2020,1930
2/7/2020,1995
2/10/2020,1990
2/11/2020,2000
2/12/2020,2010
2/13/2020,2020
2/14/2020,1990
2/17/2020,2000
2/18/2020,2030
2/19/2020,2040
2/20/2020,1985
2/21/2020,1955
2/24/2020,1905
2/25/2020,1905
2/26/2020,1850
2/27/2020,1800
2/28/2020,1800
3/2/2020,1765
3/3/2020,1840
3/4/2020,1885
3/5/2020,1885
3/6/2020,1865
3/9/2020,1770
3/10/2020,1800
3/11/2020,1850
3/12/2020,1795
3/13/2020,1795
3/16/2020,1795
3/17/2020,1645
3/18/2020,1660
3/19/2020,1545
3/20/2020,1550
3/23/2020,1460
3/24/2020,1415
3/26/2020,1610
3/27/2020,1950
3/30/2020,1815
3/31/2020,1855
4/1/2020,1830
4/2/2020,1810
4/3/2020,1810
4/6/2020,1890
4/7/2020,1875
4/8/2020,1895
4/9/2020,1920
4/13/2020,1925
4/14/2020,1945
4/15/2020,1925
4/16/2020,1900
4/17/2020,2040
4/20/2020,2070
4/21/2020,2080
4/22/2020,2070
4/23/2020,2230
4/24/2020,2180
4/27/2020,2190
4/28/2020,2180
4/29/2020,2190
4/30/2020,2150
5/4/2020,2110
5/5/2020,2110
5/6/2020,2090
5/8/2020,2130
5/11/2020,2130
5/12/2020,2130
5/13/2020,2130
5/14/2020,2120
5/15/2020,2140
5/18/2020,2140
5/19/2020,2140
5/20/2020,2140
5/26/2020,2120
5/27/2020,2130
5/28/2020,2180
5/29/2020,2200
6/2/2020,2320
6/3/2020,2350
6/4/2020,2330
6/5/2020,2300
6/8/2020,2300
6/9/2020,2320
6/10/2020,2270
6/11/2020,2300
6/12/2020,2270
6/15/2020,2270
6/16/2020,2300
6/17/2020,2300
6/18/2020,2290
6/19/2020,2280
6/22/2020,2300
6/23/2020,2290
6/24/2020,2290
6/25/2020,2260
6/26/2020,2260
6/29/2020,2260
6/30/2020,2260
7/1/2020,2250
7/2/2020,2260
7/3/2020,2260
7/6/2020,2250
7/7/2020,2240
7/8/2020,2240
7/9/2020,2240
7/10/2020,2190
7/13/2020,2190
7/14/2020,2210
7/15/2020,2220
7/16/2020,2220
7/17/2020,2220
7/20/2020,2220
7/21/2020,2220
7/22/2020,2220
7/23/2020,2270
7/24/2020,2270
7/27/2020,2270
7/28/2020,2270
7/29/2020,2350
7/30/2020,2350
8/3/2020,2290
8/4/2020,2300
8/5/2020,2280
8/6/2020,2280
8/7/2020,2260
8/10/2020,2280
8/11/2020,2250
8/12/2020,2250
8/13/2020,2280
8/14/2020,2280
8/18/2020,2250
8/19/2020,2250
8/24/2020,2240
8/25/2020,2230
8/26/2020,2260
8/27/2020,2400
8/28/2020,2400
8/31/2020,2350
9/1/2020,2500
9/2/2020,2480
9/3/2020,2490
9/4/2020,2490
9/7/2020,2590
9/8/2020,2510
9/9/2020,2480
9/10/2020,2410
9/11/2020,2480
9/14/2020,2510
9/15/2020,2460
9/16/2020,2440
9/17/2020,2370
9/18/2020,2380
9/21/2020,2320
9/22/2020,2330
9/23/2020,2410
9/24/2020,2370
9/25/2020,2420
9/28/2020,2400
9/29/2020,2410
9/30/2020,2380
10/1/2020,2410
10/2/2020,2420
10/5/2020,2440
10/6/2020,2460
10/7/2020,2450
10/8/2020,2450
10/9/2020,2430
10/12/2020,2400
10/13/2020,2420
10/14/2020,2430
10/15/2020,2410
10/16/2020,2410
10/19/2020,2410
10/20/2020,2410
10/21/2020,2400
10/22/2020,2400
10/23/2020,2430
10/26/2020,2380
10/27/2020,2340
11/2/2020,2330
11/3/2020,2350
11/4/2020,2330
11/5/2020,2400
11/6/2020,2400
11/9/2020,2400
11/10/2020,2400
11/11/2020,2430
11/12/2020,2410
11/13/2020,2410
11/16/2020,2410
11/17/2020,2420
11/18/2020,2490
11/19/2020,2500
11/20/2020,2480
11/23/2020,2480
11/24/2020,2480
11/25/2020,2470
11/26/2020,2470
11/27/2020,2470
11/30/2020,2380
12/1/2020,2440
12/2/2020,2480
12/3/2020,2480
12/4/2020,2520
12/7/2020,2540
12/8/2020,2520
12/10/2020,2500
12/11/2020,2550
12/14/2020,2680
12/15/2020,2690
12/16/2020,2680
12/17/2020,2670
12/18/2020,2740
12/21/2020,2770
12/22/2020,2770
12/23/2020,2840
12/28/2020,2910
12/29/2020,2910
12/30/2020,2710
1/4/2021,2880
1/5/2021,2880
1/6/2021,2830
1/7/2021,2840
1/8/2021,2840
1/11/2021,2760
1/12/2021,2820
1/13/2021,2770
1/14/2021,2800
1/15/2021,2760
1/18/2021,2800
1/19/2021,2800
1/20/2021,2910
1/21/2021,2820
1/22/2021,2750
1/25/2021,2800
1/26/2021,2880
1/27/2021,2840
1/28/2021,2790
1/29/2021,2790
2/1/2021,2800
2/2/2021,2640
2/3/2021,2570
2/4/2021,2510
2/5/2021,2640
2/8/2021,2640
2/9/2021,2590
2/10/2021,2600
2/11/2021,2600
2/15/2021,2570
2/16/2021,2600
2/17/2021,2520
2/18/2021,2550
2/19/2021,2590
2/22/2021,2620
2/23/2021,2630
2/24/2021,2650
2/25/2021,2710
2/26/2021,2710
3/1/2021,2710
3/2/2021,2770
3/3/2021,2750
3/4/2021,2770
3/5/2021,2730
3/8/2021,2740
3/9/2021,2720
3/10/2021,2770
3/12/2021,2800
3/15/2021,2760
3/16/2021,2770
3/17/2021,2720
3/18/2021,2720
3/19/2021,2720
3/22/2021,2710
3/23/2021,2660
3/24/2021,2730
3/25/2021,2660
3/26/2021,2700
3/29/2021,2730
3/30/2021,2660
3/31/2021,2620
4/1/2021,2560
4/5/2021,2560
4/6/2021,2530
4/7/2021,2530
4/8/2021,2530
4/9/2021,2650
4/12/2021,2540
4/13/2021,2530
4/14/2021,2600
4/15/2021,2570
4/16/2021,2570
4/19/2021,2540
4/20/2021,2540
4/21/2021,2500
4/22/2021,2490
4/23/2021,2450
4/26/2021,2450
4/27/2021,2450
4/28/2021,2450
4/29/2021,2460
4/30/2021,2460
5/3/2021,2560
5/4/2021,2610
5/5/2021,2670
5/6/2021,2640
5/7/2021,2620
5/10/2021,2620
5/11/2021,2540
5/17/2021,2510
5/18/2021,2530
5/19/2021,2510
5/20/2021,2520
5/21/2021,2510
5/24/2021,2510
5/25/2021,2570
5/27/2021,2600
5/28/2021,2600
5/31/2021,2540
6/2/2021,2570
6/3/2021,2550
6/4/2021,2570
6/7/2021,2570
6/8/2021,2580
6/9/2021,2560
6/10/2021,2560
6/11/2021,2540
6/14/2021,2540
6/15/2021,2540
6/16/2021,2500
6/17/2021,2460
6/18/2021,2340
6/21/2021,2350
6/22/2021,2350
6/23/2021,2350
6/24/2021,2340
6/25/2021,2350
6/28/2021,2330
6/29/2021,2310
6/30/2021,2310
7/1/2021,2300
7/2/2021,2320
7/5/2021,2300
7/6/2021,2260
7/7/2021,2240
7/8/2021,2240
7/9/2021,2250
7/12/2021,2250
7/13/2021,2310
7/14/2021,2330
7/15/2021,2360
7/16/2021,2420
7/19/2021,2380
7/21/2021,2320
7/22/2021,2290
7/23/2021,2240
7/26/2021,2300
7/27/2021,2280
7/28/2021,2270
7/29/2021,2270
7/30/2021,2200
8/2/2021,2230
8/3/2021,2250
8/4/2021,2230
8/5/2021,2210
8/6/2021,2230
8/9/2021,2220
8/10/2021,2190
8/12/2021,2220
8/13/2021,2230
8/16/2021,2230
8/18/2021,2230
8/19/2021,2170
8/20/2021,2150
8/23/2021,2190
8/24/2021,2200
8/25/2021,2200
8/26/2021,2200
8/27/2021,2200
8/30/2021,2200
8/31/2021,2150
9/1/2021,2200
9/2/2021,2200
9/3/2021,2200
9/6/2021,2200
9/7/2021,2260
9/8/2021,2270
9/9/2021,2240
9/10/2021,2320
9/13/2021,2300
9/14/2021,2300
9/15/2021,2290
9/16/2021,2380
9/17/2021,2400
9/20/2021,2390
9/21/2021,2400
9/22/2021,2440
9/23/2021,2420
9/24/2021,2400
9/27/2021,2380
9/28/2021,2330
9/29/2021,2330
9/30/2021,2360
10/1/2021,2360
10/4/2021,2310
10/5/2021,2310
10/6/2021,2330
10/7/2021,2420
10/8/2021,2420
10/11/2021,2340
10/12/2021,2320
10/13/2021,2420
10/14/2021,2550
10/15/2021,2570
10/18/2021,2570
10/19/2021,2510
10/21/2021,2450
10/22/2021,2410
10/25/2021,2430
10/26/2021,2420
10/27/2021,2390
10/28/2021,2330
10/29/2021,2350
11/1/2021,2360
11/2/2021,2360
11/3/2021,2360
11/4/2021,2380
11/5/2021,2430
11/8/2021,2440
11/9/2021,2420
11/10/2021,2390
11/11/2021,2390
11/12/2021,2400
11/15/2021,2360
11/16/2021,2400
11/17/2021,2360
11/18/2021,2320
11/19/2021,2370
11/22/2021,2380
11/23/2021,2340
11/24/2021,2290
11/25/2021,2290
11/26/2021,2260
11/29/2021,2220
11/30/2021,2190
12/1/2021,2180
12/2/2021,2160
12/3/2021,2170
12/6/2021,2160
12/7/2021,2160
12/8/2021,2160
12/9/2021,2150
12/10/2021,2140
12/13/2021,2120
12/14/2021,2090
12/15/2021,2090
12/16/2021,2060
12/17/2021,2030
12/20/2021,2010
12/21/2021,2000
12/22/2021,2010
12/23/2021,1995
12/24/2021,2000
12/27/2021,2000
12/28/2021,2060
12/29/2021,2090
12/30/2021,2040
1/3/2022,2050
1/4/2022,2080
1/5/2022,2100
1/6/2022,2120
1/7/2022,2170
1/10/2022,2200
1/11/2022,2170
1/12/2022,2120
1/13/2022,2160
1/14/2022,2150
1/17/2022,2120
1/18/2022,2080
1/19/2022,2020
1/20/2022,2000
1/21/2022,2020
1/24/2022,2020
1/25/2022,2000
1/26/2022,2010
1/27/2022,1940
1/28/2022,1890
1/31/2022,1875
2/2/2022,1890
2/3/2022,1880
2/4/2022,1880
2/7/2022,1895
2/8/2022,1860
2/9/2022,1815
2/10/2022,1820
2/11/2022,1785
2/14/2022,1755
2/15/2022,1810
2/16/2022,1810
2/17/2022,1800
2/18/2022,1845
2/21/2022,1820
2/22/2022,1785
2/23/2022,1785
2/24/2022,1735
2/25/2022,1750
3/1/2022,1725
3/2/2022,1640
3/4/2022,1550
3/7/2022,1505
3/8/2022,1520
3/9/2022,1530
3/10/2022,1605
3/11/2022,1640
3/14/2022,1690
3/15/2022,1660
3/16/2022,1680
3/17/2022,1670
3/18/2022,1675
3/21/2022,1670
3/22/2022,1680
3/23/2022,1670
3/24/2022,1670
3/25/2022,1655
3/28/2022,1660
3/29/2022,1655
3/30/2022,1725
3/31/2022,1760
4/1/2022,1745
4/4/2022,1710
4/5/2022,1700
4/6/2022,1715
4/7/2022,1745
4/8/2022,1735
4/11/2022,1670
4/12/2022,1670
4/13/2022,1645
4/14/2022,1620
4/18/2022,1585
4/19/2022,1580
4/20/2022,1580
4/21/2022,1580
4/22/2022,1580
4/25/2022,1630
4/26/2022,1750
4/27/2022,1765
4/28/2022,1750
5/9/2022,1650
5/10/2022,1740
5/11/2022,1845
5/12/2022,1720
5/13/2022,1710
5/17/2022,1610
5/18/2022,1640
5/19/2022,1620
5/20/2022,1660
5/23/2022,1675
5/24/2022,1690
5/25/2022,1635
5/27/2022,1685
5/30/2022,1700
5/31/2022,1740
6/2/2022,1735
6/3/2022,1705
6/6/2022,1690
6/7/2022,1690
6/8/2022,1695
6/9/2022,1690
6/10/2022,1645
6/13/2022,1620
6/14/2022,1690
6/15/2022,1680
6/16/2022,1710
6/17/2022,1725
6/20/2022,1910
6/21/2022,1890
6/22/2022,1930
6/23/2022,1950
6/24/2022,2030
6/27/2022,2050
6/28/2022,2030
6/29/2022,2130
6/30/2022,2090
7/1/2022,1945
7/4/2022,1895
7/5/2022,1940
7/6/2022,1970
7/7/2022,2000
7/8/2022,1960
7/11/2022,1920
7/12/2022,1910
7/13/2022,1910
7/14/2022,1920
7/15/2022,1890
7/18/2022,1890
7/19/2022,1895
7/20/2022,1935
7/21/2022,1950
7/22/2022,1965
7/25/2022,1870
7/26/2022,1890
7/27/2022,1800
7/28/2022,1735
7/29/2022,1760
8/1/2022,1805
8/2/2022,1840
8/3/2022,1855
8/4/2022,1870
8/5/2022,1940
8/8/2022,1950
8/9/2022,1950
8/10/2022,1905
8/11/2022,1900
8/12/2022,1875
8/15/2022,1865
8/16/2022,1895
8/18/2022,1895
8/19/2022,1890
8/22/2022,1890
8/23/2022,1900
8/24/2022,1880
8/25/2022,1860
8/26/2022,1860
8/29/2022,1840
8/30/2022,1830
8/31/2022,1800
9/1/2022,1860
9/2/2022,1860
9/5/2022,1830
9/6/2022,1790
9/7/2022,1760
9/8/2022,1790
9/9/2022,1820
9/12/2022,1775
9/13/2022,1800
9/14/2022,1795
9/15/2022,1815
9/16/2022,1785
9/19/2022,1800
9/20/2022,1810
9/21/2022,1795
9/22/2022,1800
9/23/2022,1800
9/26/2022,1800
9/27/2022,1805
9/28/2022,1805
9/29/2022,1820
9/30/2022,1830
10/3/2022,1930
10/4/2022,1935
10/5/2022,1935
10/6/2022,2020
10/7/2022,2070
10/10/2022,2060
10/11/2022,2010
10/12/2022,2020
10/13/2022,2040
10/14/2022,2160
10/17/2022,2120
10/18/2022,2220
10/19/2022,2230
10/20/2022,2520
10/21/2022,2420
10/24/2022,2400
10/25/2022,2400
10/26/2022,2400
10/27/2022,2440
10/28/2022,2430
10/31/2022,2400
11/1/2022,2300
11/2/2022,2330
11/3/2022,2340
11/4/2022,2420
11/7/2022,2420
11/8/2022,2360
11/9/2022,2370
11/10/2022,2500
11/11/2022,2400
11/14/2022,2370
11/15/2022,2370
11/16/2022,2360
11/17/2022,2280
11/18/2022,2330
11/21/2022,2330
11/22/2022,2270
11/23/2022,2430
11/24/2022,2420
11/25/2022,2400
11/28/2022,2500
11/29/2022,2520
11/30/2022,2520
12/1/2022,2540
12/2/2022,2540
12/5/2022,2540
12/6/2022,2540
12/7/2022,2540
12/8/2022,2530
12/9/2022,2500
12/12/2022,2510
12/13/2022,2500
12/14/2022,2450
12/15/2022,2430
12/16/2022,2380
12/19/2022,2420
12/20/2022,2490
12/21/2022,2500
12/22/2022,2500
12/23/2022,2460
12/26/2022,2450
12/27/2022,2490
12/28/2022,2440
12/29/2022,2440
12/30/2022,2500
1/2/2023,2490
1/3/2023,2540
1/4/2023,2620
1/5/2023,2550
1/6/2023,2460
1/9/2023,2530
1/10/2023,2480
1/11/2023,2430
1/12/2023,2440
1/13/2023,2400
1/16/2023,2300
1/17/2023,2310
1/18/2023,2310
1/19/2023,2360
1/20/2023,2370
1/24/2023,2350
1/25/2023,2370
1/26/2023,2430
1/27/2023,2400
1/30/2023,2370
1/31/2023,2370
2/1/2023,2370
2/2/2023,2400
2/3/2023,2500
2/6/2023,2380
2/7/2023,2410
2/8/2023,2440
2/9/2023,2420
2/10/2023,2440
2/13/2023,2590
2/14/2023,2600
2/15/2023,2640
2/16/2023,2670
2/17/2023,2690
2/20/2023,2650
2/21/2023,2660
2/22/2023,2620
2/23/2023,2630
2/24/2023,2680
2/27/2023,2660
2/28/2023,2660
3/1/2023,2620
3/2/2023,2740
3/3/2023,2670
3/6/2023,2700
3/7/2023,2700
3/8/2023,2700
3/9/2023,2730
3/10/2023,2700
3/13/2023,2680
3/14/2023,2650
3/15/2023,2650
3/16/2023,2670
3/17/2023,2650
3/20/2023,2590
3/21/2023,2550
3/24/2023,2600
3/27/2023,2580
3/28/2023,2670
3/29/2023,2740
3/30/2023,2670
3/31/2023,2670
4/3/2023,2640
4/4/2023,2610
4/5/2023,2590
4/6/2023,2560
4/10/2023,2620
4/11/2023,2660
4/12/2023,2650
4/13/2023,2650
4/14/2023,2610
4/17/2023,2620
4/18/2023,2600
4/26/2023,2550
4/27/2023,2560
4/28/2023,2600
5/2/2023,2560
5/3/2023,2610
5/4/2023,2650
5/5/2023,2640
5/8/2023,2700
5/9/2023,2700
5/10/2023,2690
5/11/2023,2760
5/12/2023,2810
5/15/2023,2780
5/16/2023,2740
5/17/2023,2660
5/19/2023,2710
5/22/2023,2720
5/23/2023,2720
5/24/2023,2690
5/25/2023,2680
5/26/2023,2710
